date,state_ut,district,disease,rainfall_mm,avg_temp_c,humidity_pct,daily_cases
2009-05-04,Nagaland,Mokokchung,Malaria,37.26,28.97,77.05,124.0
2009-05-05,West Bengal,Purba Medinipur,Cholera,3.12,33.99,50.57,9689.0
2009-05-25,West Bengal,South 24 Parganas,Cholera,48.87,29.77,80.03,51225.0
2009-06-02,Uttarakhand,Almora,Acute Diarrhoeal Disease,49.44,25.02,81.57,119.0
2009-06-09,Karnataka,Bijapur,Acute Diarrhoeal Disease,64.5,40.11,79.04,143.0
2009-06-09,Karnataka,Bijapur,Acute Diarrhoeal Disease,64.5,40.11,79.04,200.0
2009-06-09,Uttarakhand,Pithoragarh,Acute Diarrhoeal Disease,10.91,24.98,61.07,16.0
2009-06-10,Kerala,Kannur,Chikungunya,5.0,28.1,59.27,14.0
2009-06-11,Karnataka,Davangere,Cholera,66.13,30.31,82.11,25.0
2009-06-12,Assam,Bongaigaon,Cholera,97.39,26.4,84.38,9.0
2009-06-12,Assam,Bongaigaon,Cholera,97.39,26.4,84.38,15.0
2009-06-12,Karnataka,Bidar,Acute Diarrhoeal Disease,39.57,40.33,74.44,18.0
2009-06-14,West Bengal,Purulia,Acute Diarrhoeal Disease,10.55,35.1,57.69,105.0
2009-06-14,West Bengal,Purulia,Acute Diarrhoeal Disease,10.55,35.1,57.69,20.0
2009-06-15,Andhra Pradesh,Prakasam,Malaria,6.32,40.11,52.03,39.0
2009-06-15,Tamil Nadu,Vellore,Chikungunya,50.09,32.92,79.32,28.0
2009-06-15,Telangana,Adilabad,Acute Diarrhoeal Disease,0.26,45.13,44.23,33.0
2009-06-16,Gujarat,Junagadh,Malaria,0.38,39.45,46.07,31.0
2009-06-16,Gujarat,Surendranagar,Acute Diarrhoeal Disease,0.01,39.28,45.73,137.0
2009-06-16,Madhya Pradesh,Gwalior,Acute Diarrhoeal Disease,0.1,43.23,44.63,346.0
2009-06-16,Madhya Pradesh,Seoni,Acute Diarrhoeal Disease,2.01,44.92,46.13,31.0
2009-06-16,Punjab,Mohali,Cholera,1.25,41.19,46.46,412.0
2009-06-16,Tamil Nadu,Namakkal,Chikungunya,14.91,39.03,60.48,72.0
2009-06-17,Rajasthan,Hanumangarh,Malaria,10.19,39.93,55.9,43.0
2009-06-18,Himachal Pradesh,Hamirpur,Acute Diarrhoeal Disease,6.69,37.02,53.32,33.0
2009-06-18,Karnataka,Davangere,Acute Diarrhoeal Disease,60.42,34.08,80.46,31.0
2009-06-18,Tamil Nadu,Virudhunagar,Chikungunya,8.78,42.24,53.84,27.0
2009-06-19,Andhra Pradesh,Kadapa,Acute Diarrhoeal Disease,5.31,36.99,51.93,39.0
2009-06-19,Rajasthan,Jaipur,Acute Diarrhoeal Disease,4.72,40.63,50.23,152.0
2009-06-19,Uttarakhand,Nainital,Malaria,0.12,34.95,47.14,77.0
2009-06-20,Assam,Golaghat,Malaria,31.68,26.34,75.5,5.0
2009-06-20,Karnataka,Bijapur,Acute Diarrhoeal Disease,17.49,33.29,64.36,40.0
2009-06-20,Karnataka,Davangere,Cholera,64.78,34.82,80.65,17.0
2009-06-21,Madhya Pradesh,Dindori,Acute Diarrhoeal Disease,0.16,46.58,43.69,56.0
2009-06-21,Punjab,Mohali,Acute Diarrhoeal Disease,1.19,39.77,46.82,73.0
2009-06-23,Madhya Pradesh,Seoni,Acute Diarrhoeal Disease,3.21,48.0,46.46,6.0
2009-06-23,Tamil Nadu,Salem,Chikungunya,16.93,37.71,62.58,16.0
2009-06-24,Himachal Pradesh,Lahaul & Spiti,Acute Diarrhoeal Disease,0.78,14.0,54.12,9.0
2009-06-24,Tamil Nadu,Namakkal,Chikungunya,14.48,39.0,60.11,48.0
2009-06-25,Andhra Pradesh,Prakasam,Acute Diarrhoeal Disease,13.12,41.6,58.13,12.0
2009-06-25,Karnataka,Tumkur,Acute Diarrhoeal Disease,28.68,32.56,72.11,10.0
2009-06-25,Karnataka,Tumkur,Acute Diarrhoeal Disease,28.68,32.56,72.11,10.0
2009-06-25,Tamil Nadu,Ariyalur (Perambalur),Chikungunya,9.16,40.43,54.75,40.0
2009-06-25,Uttarakhand,Almora,Acute Diarrhoeal Disease,0.11,33.77,47.49,16.0
2009-06-26,Uttarakhand,Haridwar,Acute Diarrhoeal Disease,0.01,41.0,45.21,134.0
